guest asm,,,,,,,,,,operand encoding (Intel syntax),,,,,,operand types (Intel syntax),,,,,host asm,,,,
name,opcode,vec pfx,prefix,escape,width,dst_w,tuple,mask,misc,E_class,dst_e,src1_e,src2_e,src3_e,src4_e,dst_t,src1_t,src2_t,src3_t,src4_t,asm-> IR function,IR,mult,param,IR->asm
VPSHUFB,0x00,EVEX,PFX_66,ESC_0F38,WIG,W_8,FullVectorMem,MASK_FULL,,E4NFnb,rG,rV,rmE,,,Ity_V128,Ity_V128,Ity_V128,,,m_PSHUFB,Iop_INVALID,1,,
VPSHUFB,0x00,EVEX,PFX_66,ESC_0F38,WIG,W_8,FullVectorMem,MASK_FULL,,E4NFnb,rG,rV,rmE,,,Ity_V256,Ity_V256,Ity_V256,,,m_PSHUFB,Iop_INVALID,2,,
VPSHUFB,0x00,EVEX,PFX_66,ESC_0F38,WIG,W_8,FullVectorMem,MASK_FULL,,E4NFnb,rG,rV,rmE,,,Ity_V512,Ity_V512,Ity_V512,,,m_PSHUFB,Iop_INVALID,4,,
VPERMQ,0x00,EVEX,PFX_66,ESC_0F3A,W1,W_64,FullVector,MASK_FULL,,E4NF,rG,rmE,imm8,,,Ity_V256,Ity_V256,Ity_I8,,,m_perm_imm_64x4,Iop_INVALID,1,,
VPERMQ,0x00,EVEX,PFX_66,ESC_0F3A,W1,W_64,FullVector,MASK_FULL,,E4NF,rG,rmE,imm8,,,Ity_V512,Ity_V512,Ity_I8,,,m_perm_imm_64x4,Iop_INVALID,2,,
VPERMPD,0x01,EVEX,PFX_66,ESC_0F3A,W1,W_64,FullVector,MASK_FULL,,E4NF,rG,rmE,imm8,,,Ity_V256,Ity_V256,Ity_I8,,,m_perm_imm_64x4,Iop_INVALID,1,,
VPERMPD,0x01,EVEX,PFX_66,ESC_0F3A,W1,W_64,FullVector,MASK_FULL,,E4NF,rG,rmE,imm8,,,Ity_V512,Ity_V512,Ity_I8,,,m_perm_imm_64x4,Iop_INVALID,2,,
VALIGND,0x03,EVEX,PFX_66,ESC_0F3A,W0,W_32,FullVector,MASK_FULL,,E4NF,rG,rV,rmE,imm8,,Ity_V128,Ity_V128,Ity_V128,Ity_I8,,m_Align_32,Iop_INVALID,1,,
VALIGND,0x03,EVEX,PFX_66,ESC_0F3A,W0,W_32,FullVector,MASK_FULL,,E4NF,rG,rV,rmE,imm8,,Ity_V256,Ity_V256,Ity_V256,Ity_I8,,m_Align_32,Iop_INVALID,1,,
VALIGND,0x03,EVEX,PFX_66,ESC_0F3A,W0,W_32,FullVector,MASK_FULL,,E4NF,rG,rV,rmE,imm8,,Ity_V512,Ity_V512,Ity_V512,Ity_I8,,m_Align_32,Iop_INVALID,1,,
VALIGNQ,0x03,EVEX,PFX_66,ESC_0F3A,W1,W_64,FullVector,MASK_FULL,,E4NF,rG,rV,rmE,imm8,,Ity_V128,Ity_V128,Ity_V128,Ity_I8,,m_Align_64,Iop_INVALID,1,,
VALIGNQ,0x03,EVEX,PFX_66,ESC_0F3A,W1,W_64,FullVector,MASK_FULL,,E4NF,rG,rV,rmE,imm8,,Ity_V256,Ity_V256,Ity_V256,Ity_I8,,m_Align_64,Iop_INVALID,1,,
VALIGNQ,0x03,EVEX,PFX_66,ESC_0F3A,W1,W_64,FullVector,MASK_FULL,,E4NF,rG,rV,rmE,imm8,,Ity_V512,Ity_V512,Ity_V512,Ity_I8,,m_Align_64,Iop_INVALID,1,,
VPMADDUBSW,0x04,EVEX,PFX_66,ESC_0F38,WIG,W_16,FullVectorMem,MASK_FULL,,E4NFnb,rG,rV,rmE,,,Ity_V128,Ity_V128,Ity_V128,,,NULL,Iop_PwExtUSMulQAdd8x16,1,,LEGACY
VPMADDUBSW,0x04,EVEX,PFX_66,ESC_0F38,WIG,W_16,FullVectorMem,MASK_FULL,,E4NFnb,rG,rV,rmE,,,Ity_V256,Ity_V256,Ity_V256,,,NULL,Iop_PwExtUSMulQAdd8x16,2,,LEGACY
